"","phase","date","site","bait_take","species","prints_count","raven_visit_1_pa","raven_visit_1_time","raven_visit_2_pa","raven_visit_2_time","raven_visit_3_pa","raven_visit_3_time","fox_visit_1_pa","fox_visit_1_time","fox_visit_2_pa","fox_visit_2_time","fox_visit_3_pa","fox_visit_3_time","fox_visit_4_pa","fox_visit_4_time","fox_visit_5_pa","fox_visit_5_time","treatment","foxes","ravens","bait_notes","bait_yes","minimum_temperature_c","maximum_temperature_c","rainfall_mm","evaporation_mm","sunshine_hours","direction_of_maximum_wind_gust","speed_of_maximum_wind_gust_km_h","time_of_maximum_wind_gust","x9am_temperature_c","x9am_relative_humidity_percent","x9am_cloud_amount_oktas","x9am_wind_direction","x9am_wind_speed_km_h","x9am_msl_pressure_h_pa","x3pm_temperature_c","x3pm_relative_humidity_percent","x3pm_cloud_amount_oktas","x3pm_wind_direction","x3pm_wind_speed_km_h","x3pm_msl_pressure_h_pa","fox_visit_pa","fox_visit_n","raven_visit_pa","raven_visit_n"
"1","1",2024-01-15,"F16",1,"Fox","1F",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"2","1",2024-01-15,"F18",1,"Fox","1F",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"3","1",2024-01-15,"F23",1,"Fox","0",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"4","1",2024-01-15,"F24",1,"Fox","2F",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"5","1",2024-01-15,"F25",1,"Fox","2F",0,NA,0,NA,0,NA,1,"0.25625000000000003",0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"Yes",1,"No",0
"6","1",2024-01-15,"F26",1,"Fox","2F",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"7","1",2024-01-15,"F29",1,"Fox","2F",0,NA,0,NA,0,NA,1,"0.26458333333333334",0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"Yes",1,"No",0
"8","1",2024-01-15,"F30",1,"Fox","2F",0,NA,0,NA,0,NA,1,"8.4027777777777771E-2",1,1899-12-31 06:33:00,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"Yes",2,"No",0
"9","1",2024-01-15,"F31",1,"Fox","2F",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"10","1",2024-01-15,"F35",1,"Fox","T",0,NA,0,NA,0,NA,1,"0.78611111111111109",0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"Yes",1,"No",0
"11","1",2024-01-15,"F55",1,"Fox","1F",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"12","1",2024-01-15,"F56",1,"Fox","SM",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"13","1",2024-01-15,"F04",0,"Not taken","0",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"14","1",2024-01-15,"F05",1,"Unknown","T",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"15","1",2024-01-15,"F06",0,"Not taken","0",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"16","1",2024-01-15,"F08",0,"Not taken","0",0,NA,0,NA,0,NA,1,"0.97083333333333333",0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"Yes",1,"No",0
"17","1",2024-01-15,"F12",0,"Not taken","0",0,NA,0,NA,0,NA,1,"0.87569444444444444",0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"Yes",1,"No",0
"18","1",2024-01-15,"F13",0,"Not taken","0",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"19","1",2024-01-15,"F19",0,"Not taken","0",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
"20","1",2024-01-15,"F21",0,"Not taken","0",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No",13.3,20.5,20.6,NA,NA,"ENE",39,1899-12-31 17:12:00,15.4,81,8,"SE","17",1022.6,18.5,71,8,"ENE",28,1021,"No",0,"No",0
