"","id","phase","date","site","bait_take","species","prints_count","raven_visit_1_pa","raven_visit_1_time","raven_visit_2_pa","raven_visit_2_time","raven_visit_3_pa","raven_visit_3_time","fox_visit_1_pa","fox_visit_1_time","fox_visit_2_pa","fox_visit_2_time","fox_visit_3_pa","fox_visit_3_time","fox_visit_4_pa","fox_visit_4_time","fox_visit_5_pa","fox_visit_5_time","treatment","foxes","ravens","bait_notes","bait_yes","day_of_week","minimum_temperature_c","maximum_temperature_c","rainfall_mm","speed_of_maximum_wind_gust_km_h","fox_visit_pa","fox_visit_n","raven_visit_pa","raven_visit_n","study_day"
"1",1,"1",2024-01-15,"F16",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"2",2,"1",2024-01-15,"F18",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"3",3,"1",2024-01-15,"F23",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"4",4,"1",2024-01-15,"F24",1,"Fox",2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"5",5,"1",2024-01-15,"F25",1,"Fox",2,0,NA,0,NA,0,NA,1,0.25625,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,1,1,0,0,1
"6",6,"1",2024-01-15,"F26",1,"Fox",2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"7",7,"1",2024-01-15,"F29",1,"Fox",2,0,NA,0,NA,0,NA,1,0.264583333333333,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,1,1,0,0,1
"8",8,"1",2024-01-15,"F30",1,"Fox",2,0,NA,0,NA,0,NA,1,0.0840277777777778,1,-2209051620,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,1,2,0,0,1
"9",9,"1",2024-01-15,"F31",1,"Fox",2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"10",10,"1",2024-01-15,"F35",1,"Fox",NA,0,NA,0,NA,0,NA,1,0.786111111111111,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,1,1,0,0,1
"11",11,"1",2024-01-15,"F55",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"12",12,"1",2024-01-15,"F56",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"13",15,"1",2024-01-15,"F04",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"14",16,"1",2024-01-15,"F05",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"15",17,"1",2024-01-15,"F06",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"16",18,"1",2024-01-15,"F08",0,"Not taken",0,0,NA,0,NA,0,NA,1,0.970833333333333,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,1,1,0,0,1
"17",19,"1",2024-01-15,"F12",0,"Not taken",0,0,NA,0,NA,0,NA,1,0.875694444444444,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,1,1,0,0,1
"18",20,"1",2024-01-15,"F13",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"19",21,"1",2024-01-15,"F19",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"20",22,"1",2024-01-15,"F21",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
